loan_id,customer_id,credit_score_band,income_band,city,city_tier,loan_amount,tenure_months,latest_dpd,had_recent_partial,signals_firing,decline_spike_flag,upi_shift_flag,amount_drop_flag,diversity_drop_flag,risk_score,score_reason,risk_tier
LN00000001,CUST0013536,650-850,>15L,Delhi,tier1,1862622.24,18,7,False,3.0,1.0,1.0,1.0,0.0,5,signals_3_firing(+3) | dpd_1_29(+2),Medium
LN00000002,CUST0028028,600-650,>15L,Pune,tier1,2018131.97,12,0,False,0.0,,,,,3,band_600_650(+3),Low
LN00000003,CUST0019977,650-850,10-15L,Kolkata,tier1,1422386.9,18,0,False,1.0,1.0,0.0,0.0,0.0,1,signals_1_firing(+1),Low
LN00000004,CUST0017979,550-600,6-10L,Mumbai,tier1,448660.49,24,90,False,1.0,1.0,0.0,0.0,0.0,2,band_550_600(+1) | signals_1_firing(+1),Low
LN00000005,CUST0028977,650-850,3-6L,Pune,tier1,112484.7,24,0,False,0.0,,,,,1,income_3_6L(+1),Low
LN00000006,CUST0016347,650-850,6-10L,Delhi,tier1,228881.64,36,0,False,0.0,,,,,1,long_tenure(+1),Low
LN00000007,CUST0001649,550-600,<3L,Kolkata,tier1,15090.09,12,0,False,0.0,,,,,3,band_550_600(+1) | income_lt3L(+2),Low
LN00000008,CUST0011990,650-850,10-15L,Hyderabad,tier1,1341794.83,24,1,False,0.0,,,,,2,dpd_1_29(+2),Low
LN00000009,CUST0015627,600-650,3-6L,Visakhapatnam,tier2,187642.95,24,0,False,0.0,,,,,5,band_600_650(+3) | income_3_6L(+1) | tier2_city(+1),Medium
LN00000010,CUST0020367,650-850,10-15L,Mumbai,tier1,1327196.19,18,0,False,0.0,,,,,0,no_risk_factors,Low
LN00000011,CUST0017734,600-650,6-10L,Jaipur,tier2,457707.07,18,30,False,1.0,1.0,0.0,0.0,0.0,5,band_600_650(+3) | tier2_city(+1) | signals_1_firing(+1),Medium
LN00000012,CUST0011543,550-600,6-10L,Delhi,tier1,330773.95,24,0,False,0.0,,,,,1,band_550_600(+1),Low
LN00000013,CUST0026730,550-600,6-10L,Chennai,tier1,640243.87,24,0,False,0.0,,,,,1,band_550_600(+1),Low
LN00000014,CUST0009206,550-600,10-15L,Bengaluru,tier1,975243.19,18,0,False,0.0,,,,,1,band_550_600(+1),Low
LN00000015,CUST0009510,650-850,3-6L,Visakhapatnam,tier2,74198.95,12,0,False,3.0,1.0,1.0,1.0,0.0,5,income_3_6L(+1) | tier2_city(+1) | signals_3_firing(+3),Medium
LN00000016,CUST0029325,300-550,6-10L,Mumbai,tier1,624917.03,24,0,False,0.0,,,,,2,band_300_550(+2),Low
LN00000017,CUST0007838,600-650,3-6L,Jaipur,tier2,287911.93,18,0,False,0.0,,,,,5,band_600_650(+3) | income_3_6L(+1) | tier2_city(+1),Medium
LN00000018,CUST0019456,600-650,<3L,Lucknow,tier2,79862.01,18,0,False,1.0,1.0,0.0,0.0,0.0,7,band_600_650(+3) | income_lt3L(+2) | tier2_city(+1) | signals_1_firing(+1),High
LN00000019,CUST0028410,650-850,6-10L,Bhopal,tier2,483384.69,24,15,False,0.0,,,,,3,tier2_city(+1) | dpd_1_29(+2),Low
LN00000020,CUST0016674,650-850,3-6L,Ahmedabad,tier2,251479.83,36,0,False,0.0,,,,,3,income_3_6L(+1) | tier2_city(+1) | long_tenure(+1),Low
LN00000021,CUST0002782,600-650,<3L,Hyderabad,tier1,54444.04,24,90,True,2.0,1.0,0.0,1.0,0.0,8,band_600_650(+3) | income_lt3L(+2) | signals_2_firing(+1) | recent_partial_pay(+2),High
LN00000022,CUST0019041,550-600,>15L,Lucknow,tier2,1852109.75,12,0,False,0.0,,,,,2,band_550_600(+1) | tier2_city(+1),Low
LN00000023,CUST0016795,650-850,6-10L,Visakhapatnam,tier2,697546.05,18,0,False,0.0,,,,,1,tier2_city(+1),Low
LN00000024,CUST0003567,650-850,3-6L,Vadodara,tier2,193706.69,12,0,False,0.0,,,,,2,income_3_6L(+1) | tier2_city(+1),Low
LN00000025,CUST0027392,550-600,<3L,Kolkata,tier1,33890.11,18,0,False,0.0,,,,,3,band_550_600(+1) | income_lt3L(+2),Low
LN00000026,CUST0025643,650-850,3-6L,Pune,tier1,147357.91,12,0,False,1.0,1.0,0.0,0.0,0.0,2,income_3_6L(+1) | signals_1_firing(+1),Low
LN00000027,CUST0021919,650-850,6-10L,Delhi,tier1,626120.11,18,0,False,0.0,,,,,0,no_risk_factors,Low
LN00000028,CUST0009635,600-650,10-15L,Jaipur,tier2,830940.54,18,60,True,0.0,,,,,6,band_600_650(+3) | tier2_city(+1) | recent_partial_pay(+2),Medium
LN00000029,CUST0005457,650-850,6-10L,Hyderabad,tier1,646518.19,18,0,False,1.0,1.0,0.0,0.0,0.0,1,signals_1_firing(+1),Low
LN00000030,CUST0025496,650-850,3-6L,Delhi,tier1,219267.65,24,0,False,0.0,,,,,1,income_3_6L(+1),Low
LN00000031,CUST0018125,650-850,6-10L,Pune,tier1,218223.95,24,0,False,0.0,,,,,0,no_risk_factors,Low
LN00000032,CUST0008142,650-850,6-10L,Mumbai,tier1,530208.16,18,0,False,1.0,1.0,0.0,0.0,0.0,1,signals_1_firing(+1),Low
LN00000033,CUST0019128,650-850,6-10L,Delhi,tier1,412271.68,12,15,False,0.0,,,,,2,dpd_1_29(+2),Low
LN00000034,CUST0008770,650-850,10-15L,Bengaluru,tier1,771431.8,18,0,False,0.0,,,,,0,no_risk_factors,Low
LN00000035,CUST0006667,600-650,3-6L,Visakhapatnam,tier2,123498.9,18,0,False,1.0,1.0,0.0,0.0,0.0,6,band_600_650(+3) | income_3_6L(+1) | tier2_city(+1) | signals_1_firing(+1),Medium
