loan_id,decline_rate_change,decline_spike_flag,avg_amount_change_pct,amount_drop_flag,upi_share_change_pp,upi_shift_flag,category_count_change,diversity_drop_flag,signals_firing,customer_id,credit_score_band,income_band,city,tenure_months,loan_amount
LN00000003,0.0,1,0.3621711600989438,0,0.0,0,0.0,0,1,CUST0019977,650-850,10-15L,Kolkata,18,1422386.9
LN00000004,0.0,1,1.4025120912437739,0,0.0,0,0.0,0,1,CUST0017979,550-600,6-10L,Mumbai,24,448660.49
LN00000011,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0017734,600-650,6-10L,Jaipur,18,457707.07
LN00000018,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0019456,600-650,<3L,Lucknow,18,79862.01
LN00000026,1.0,1,inf,0,0.0,0,1.0,0,1,CUST0025643,650-850,3-6L,Pune,12,147357.91
LN00000029,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0005457,650-850,6-10L,Hyderabad,18,646518.19
LN00000032,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0008142,650-850,6-10L,Mumbai,18,530208.16
LN00000035,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0006667,600-650,3-6L,Visakhapatnam,18,123498.9
LN00000037,1.0,1,inf,0,1.0,0,1.0,0,1,CUST0017152,650-850,>15L,Jaipur,36,2803465.32
LN00000054,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0015762,600-650,>15L,Nagpur,36,1855594.3
LN00000056,1.0,1,10.06658858643293,0,0.0,0,0.0,0,1,CUST0005663,600-650,<3L,Patna,12,34126.0
LN00000057,0.0,1,0.2519453658044419,0,0.0,0,0.0,0,1,CUST0018786,650-850,3-6L,Visakhapatnam,12,178246.68
LN00000074,0.0,1,-0.561409404430853,1,0.0,0,0.0,0,2,CUST0024923,650-850,>15L,Lucknow,24,1333370.6
LN00000081,0.0,1,-0.3571258766195174,1,0.0,0,0.0,0,2,CUST0003844,650-850,6-10L,Pune,36,278415.29
LN00000091,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0002281,650-850,6-10L,Kolkata,18,332365.76
LN00000094,0.0,1,-0.1794393813863573,0,0.0,0,0.0,0,1,CUST0007373,550-600,<3L,Mumbai,12,11267.06
LN00000106,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0009352,550-600,<3L,Pune,12,46606.33
LN00000107,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0025952,550-600,10-15L,Kolkata,12,941126.5
LN00000123,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0000679,550-600,>15L,Kochi,12,1655556.14
LN00000125,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0029265,600-650,3-6L,Kolkata,18,136653.79
LN00000126,0.0,1,4.27555988315482,0,0.0,0,0.0,0,1,CUST0004488,600-650,6-10L,Bhopal,36,334485.81
LN00000129,0.0,1,0.026571548084338748,0,1.0,0,0.0,0,1,CUST0001134,600-650,10-15L,Mumbai,24,651951.77
LN00000135,0.0,1,inf,0,1.0,0,2.0,0,1,CUST0019644,550-600,<3L,Patna,12,43688.55
LN00000145,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0024427,550-600,6-10L,Bhopal,12,303566.25
LN00000148,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0027971,600-650,6-10L,Delhi,24,264410.29
LN00000149,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0024424,300-550,>15L,Ahmedabad,36,2218370.55
