loan_id,customer_id,loan_amount,tenure_months,interest_rate,disbursal_date,city,income_band,credit_score_band,acquisition_channel
LN00000001,CUST0013536,1862622.24,18,10.54,2024-02-28,Delhi,>15L,650-850,referral
LN00000002,CUST0028028,2018131.97,12,18.74,2025-02-08,Pune,>15L,600-650,DSA
LN00000003,CUST0019977,1422386.9,18,14.21,2024-09-23,Kolkata,10-15L,650-850,organic
LN00000004,CUST0017979,448660.49,24,22.25,2025-05-09,Mumbai,6-10L,550-600,organic
LN00000005,CUST0028977,112484.7,24,15.27,2025-03-25,Pune,3-6L,650-850,organic
LN00000006,CUST0016347,228881.64,36,12.51,2024-01-04,Delhi,6-10L,650-850,DSA
LN00000007,CUST0001649,15090.09,12,22.23,2024-10-09,Kolkata,<3L,550-600,DSA
LN00000008,CUST0011990,1341794.83,24,16.0,2025-04-16,Hyderabad,10-15L,650-850,organic
LN00000009,CUST0015627,187642.95,24,17.09,2024-07-13,Visakhapatnam,3-6L,600-650,DSA
LN00000010,CUST0020367,1327196.19,18,12.2,2025-01-07,Mumbai,10-15L,650-850,referral
LN00000011,CUST0017734,457707.07,18,19.84,2024-08-08,Jaipur,6-10L,600-650,organic
LN00000012,CUST0011543,330773.95,24,23.6,2025-02-23,Delhi,6-10L,550-600,DSA
LN00000013,CUST0026730,640243.87,24,19.36,2025-07-06,Chennai,6-10L,550-600,affiliate
LN00000014,CUST0009206,975243.19,18,23.3,2024-03-09,Bengaluru,10-15L,550-600,referral
LN00000015,CUST0009510,74198.95,12,14.47,2025-04-05,Visakhapatnam,3-6L,650-850,DSA
LN00000016,CUST0029325,624917.03,24,29.83,2024-12-28,Mumbai,6-10L,300-550,organic
LN00000017,CUST0007838,287911.93,18,19.74,2024-09-16,Jaipur,3-6L,600-650,organic
LN00000018,CUST0019456,79862.01,18,17.38,2024-02-05,Lucknow,<3L,600-650,organic
LN00000019,CUST0028410,483384.69,24,10.68,2024-02-08,Bhopal,6-10L,650-850,affiliate
LN00000020,CUST0016674,251479.83,36,13.45,2025-06-24,Ahmedabad,3-6L,650-850,affiliate
LN00000021,CUST0002782,54444.04,24,18.01,2025-01-07,Hyderabad,<3L,600-650,organic
LN00000022,CUST0019041,1852109.75,12,23.18,2025-01-29,Lucknow,>15L,550-600,organic
LN00000023,CUST0016795,697546.05,18,10.24,2024-08-27,Visakhapatnam,6-10L,650-850,affiliate
LN00000024,CUST0003567,193706.69,12,14.97,2024-03-14,Vadodara,3-6L,650-850,DSA
LN00000025,CUST0027392,33890.11,18,19.46,2024-05-18,Kolkata,<3L,550-600,organic
LN00000026,CUST0025643,147357.91,12,15.14,2024-09-18,Pune,3-6L,650-850,DSA
LN00000027,CUST0021919,626120.11,18,13.48,2024-02-08,Delhi,6-10L,650-850,DSA
LN00000028,CUST0009635,830940.54,18,16.98,2024-02-03,Jaipur,10-15L,600-650,organic
LN00000029,CUST0005457,646518.19,18,15.8,2024-05-18,Hyderabad,6-10L,650-850,organic
LN00000030,CUST0025496,219267.65,24,14.68,2024-01-06,Delhi,3-6L,650-850,affiliate
LN00000031,CUST0018125,218223.95,24,11.53,2025-07-04,Pune,6-10L,650-850,organic
LN00000032,CUST0008142,530208.16,18,10.06,2024-06-25,Mumbai,6-10L,650-850,DSA
LN00000033,CUST0019128,412271.68,12,15.02,2024-01-16,Delhi,6-10L,650-850,organic
LN00000034,CUST0008770,771431.8,18,14.65,2024-01-26,Bengaluru,10-15L,650-850,DSA
LN00000035,CUST0006667,123498.9,18,19.28,2024-10-31,Visakhapatnam,3-6L,600-650,organic
LN00000036,CUST0027134,203004.94,36,28.86,2025-02-25,Patna,3-6L,300-550,affiliate
LN00000037,CUST0017152,2803465.32,36,11.06,2024-12-30,Jaipur,>15L,650-850,DSA
LN00000038,CUST0028990,67299.31,36,22.2,2025-06-08,Hyderabad,3-6L,300-550,organic
LN00000039,CUST0016101,127294.19,12,23.48,2024-03-05,Pune,3-6L,300-550,DSA
LN00000040,CUST0002788,592045.51,24,22.62,2024-02-29,Ahmedabad,10-15L,550-600,referral
LN00000041,CUST0010053,915508.16,18,18.75,2024-11-07,Mumbai,10-15L,600-650,organic
LN00000042,CUST0006130,1460993.9,24,24.51,2025-06-10,Visakhapatnam,10-15L,300-550,DSA
LN00000043,CUST0022921,241277.65,18,23.83,2025-06-05,Ahmedabad,3-6L,300-550,affiliate
LN00000044,CUST0009397,661409.99,12,20.71,2025-04-10,Visakhapatnam,6-10L,550-600,organic
LN00000045,CUST0003346,268684.37,24,22.46,2025-04-19,Pune,3-6L,550-600,organic
LN00000046,CUST0006786,417145.76,18,12.26,2025-03-23,Ahmedabad,6-10L,650-850,organic
LN00000047,CUST0026518,207845.12,18,17.0,2024-08-29,Kolkata,3-6L,600-650,referral
LN00000048,CUST0015220,1098945.2,12,11.07,2024-12-16,Mumbai,10-15L,650-850,organic
LN00000049,CUST0016035,21055.03,12,18.47,2024-08-12,Vadodara,<3L,600-650,DSA
LN00000050,CUST0002513,49289.9,24,24.09,2025-03-04,Kolkata,<3L,300-550,organic
LN00000051,CUST0007043,487792.08,24,19.29,2025-03-17,Pune,6-10L,550-600,organic
LN00000052,CUST0003948,2464618.74,18,21.4,2024-02-28,Chennai,>15L,550-600,affiliate
LN00000053,CUST0003109,843170.28,12,16.67,2024-02-05,Kolkata,>15L,600-650,affiliate
LN00000054,CUST0015762,1855594.3,36,17.24,2024-04-27,Nagpur,>15L,600-650,DSA
LN00000055,CUST0024565,650275.85,18,13.36,2025-04-27,Nagpur,6-10L,650-850,DSA
LN00000056,CUST0005663,34126.0,12,16.02,2024-12-17,Patna,<3L,600-650,DSA
LN00000057,CUST0018786,178246.68,12,15.34,2024-08-18,Visakhapatnam,3-6L,650-850,referral
LN00000058,CUST0018262,1048775.94,18,10.52,2024-01-24,Kolkata,10-15L,650-850,organic
LN00000059,CUST0000333,207927.25,24,15.68,2024-03-30,Chennai,3-6L,650-850,app_store
LN00000060,CUST0026624,178576.69,24,10.49,2025-01-22,Pune,3-6L,650-850,affiliate
LN00000061,CUST0026006,56596.9,12,15.7,2025-02-08,Bengaluru,<3L,650-850,affiliate
LN00000062,CUST0007758,605793.83,24,13.98,2024-08-03,Indore,6-10L,650-850,app_store
