txn_id,customer_id,txn_date,txn_amount,txn_type,merchant_category,txn_channel,city,is_declined,city_tier
TXN000000001,CUST0024356,2024-01-12,2693.42,credit,dining,UPI,Indore,0,tier2
TXN000000002,CUST0018507,2026-04-19,909.76,debit,travel,UPI,Ahmedabad,0,tier2
TXN000000003,CUST0017573,2024-09-21,163.28,debit,education,UPI,Indore,0,tier2
TXN000000004,CUST0004247,2025-03-19,1680.19,debit,dining,UPI,Surat,0,tier2
TXN000000005,CUST0005688,2027-01-31,253.62,credit,electronics,card,Chennai,0,tier1
TXN000000006,CUST0022991,2024-07-27,669.83,debit,utilities,card,Kolkata,0,tier1
TXN000000007,CUST0012633,2024-04-10,15586.66,debit,education,UPI,Visakhapatnam,0,tier2
TXN000000008,CUST0003628,2024-11-27,8381.1,debit,travel,UPI,Chennai,0,tier1
TXN000000009,CUST0008697,2024-04-17,1656.89,debit,utilities,card,Pune,0,tier1
TXN000000010,CUST0002863,2027-04-08,2922.71,credit,groceries,UPI,Bengaluru,0,tier1
TXN000000011,CUST0014711,2026-01-30,2602.73,debit,utilities,UPI,Chennai,0,tier1
TXN000000012,CUST0016223,2024-10-07,499.34,debit,dining,card,Lucknow,0,tier2
TXN000000013,CUST0005575,2027-02-28,911.27,debit,education,card,Ahmedabad,0,tier2
TXN000000014,CUST0004859,2026-10-23,496.9,debit,healthcare,card,Kolkata,0,tier1
TXN000000015,CUST0015129,2024-04-16,2314.98,debit,fuel,card,Delhi,0,tier1
TXN000000016,CUST0014910,2024-11-27,3241.49,debit,fuel,UPI,Mumbai,0,tier1
TXN000000017,CUST0019936,2025-03-29,1482.94,credit,healthcare,card,Nagpur,0,tier2
TXN000000018,CUST0013483,2026-05-24,2709.32,refund,travel,UPI,Pune,0,tier1
TXN000000019,CUST0016862,2027-05-10,1307.87,credit,entertainment,UPI,Kochi,0,tier2
TXN000000020,CUST0000456,2025-09-12,1391.25,debit,dining,UPI,Lucknow,0,tier2
TXN000000021,CUST0001176,2024-10-30,1508.85,refund,entertainment,card,Chennai,0,tier1
TXN000000022,CUST0008373,2025-11-09,2855.5,debit,travel,card,Mumbai,0,tier1
TXN000000023,CUST0026801,2024-02-27,160.34,debit,travel,UPI,Pune,0,tier1
TXN000000024,CUST0000051,2027-03-15,176.34,debit,entertainment,UPI,Coimbatore,0,tier2
TXN000000025,CUST0003384,2027-05-04,1272.33,debit,utilities,UPI,Delhi,0,tier1
TXN000000026,CUST0021866,2026-10-08,1244.37,credit,groceries,card,Kolkata,0,tier1
TXN000000027,CUST0010882,2025-08-02,173.23,refund,electronics,card,Mumbai,0,tier1
TXN000000028,CUST0014825,2026-03-14,565.71,debit,fashion,UPI,Chennai,0,tier1
TXN000000029,CUST0002074,2027-03-28,3605.07,credit,fashion,card,Kochi,0,tier2
TXN000000030,CUST0007115,2027-01-16,1013.26,credit,groceries,UPI,Kolkata,0,tier1
TXN000000031,CUST0009145,2024-03-17,1447.01,debit,fashion,UPI,Jaipur,0,tier2
TXN000000032,CUST0010450,2025-11-15,469.86,debit,travel,card,Surat,0,tier2
TXN000000033,CUST0008249,2025-03-04,3036.31,debit,electronics,card,Mumbai,0,tier1
